City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,omdurman,15.6445,32.4777,30.06,9,4,3.59,SD,1714014226
1,kone,-21.0595,164.8658,27.89,61,22,4.49,NC,1714014227
2,igarka,67.4667,86.5833,-7.21,90,79,3.58,RU,1714014228
3,avarua,-21.2078,-159.775,26.03,73,75,3.09,CK,1714014229
4,bonito,-21.1211,-56.4819,24.3,75,34,1.35,BR,1714014043
5,bubaque,11.2833,-15.8333,25.77,67,100,6.39,GW,1714014231
6,anadyr,64.75,177.4833,-2.72,92,100,6.0,RU,1714014216
7,villa dolores,-31.9459,-65.1896,15.38,78,100,0.8,AR,1714014060
8,dalnegorsk,44.5604,135.5701,12.56,95,100,1.79,RU,1714014233
9,kenora,49.8167,-94.4337,9.54,29,20,2.57,CA,1714014173
10,iqaluit,63.7506,-68.5145,-9.15,72,100,5.66,CA,1714014014
11,esmeraldas,-19.7625,-44.3139,23.17,80,2,1.47,BR,1714013955
12,adamstown,-25.066,-130.1015,22.95,89,2,9.89,PN,1714014193
13,cabo san lucas,22.8909,-109.9124,25.9,63,70,4.88,MX,1714013964
14,vila franca do campo,37.7167,-25.4333,15.23,77,35,3.07,PT,1714014239
15,olonkinbyen,70.9221,-8.7187,-1.6,82,8,3.52,SJ,1714014182
16,waitangi,-43.9535,-176.5597,16.01,87,99,3.58,NZ,1714014198
17,ribeira grande,38.5167,-28.7,15.43,83,7,4.47,PT,1714014241
18,chonchi,-42.6128,-73.8092,10.07,88,59,4.67,CL,1714014242
19,ban lam luk ka,13.9774,100.7778,37.77,59,20,3.6,TH,1714014243
20,jamestown,42.097,-79.2353,4.77,85,100,3.09,US,1714013932
21,uturoa,-16.7333,-151.4333,28.34,72,0,2.21,PF,1714014245
22,howrah,22.5892,88.3103,34.0,46,20,3.6,IN,1714014246
23,vilyuchinsk,52.9306,158.4028,12.15,62,100,4.89,RU,1714014247
24,puerto natales,-51.7236,-72.4875,2.25,100,100,1.03,CL,1714013954
25,kerikeri,-35.2268,173.9474,18.92,61,100,3.26,NZ,1714014248
26,tocopilla,-22.092,-70.1979,20.37,77,7,5.41,CL,1714014249
27,quellon,-43.1167,-73.6167,10.66,85,61,7.03,CL,1714014166
28,tarko-sale,64.9225,77.785,-7.82,89,81,1.88,RU,1714014251
29,grytviken,-54.2811,-36.5092,-2.15,78,23,4.91,GS,1714014252
